,Depth,Longitude,Latitude,Temperature,Salinity,Density
321,15.0,72.5,6.5,28.40801,34.31159,21.805471
322,15.0,72.5,7.5,28.43661,34.19709,21.72266
323,15.0,72.5,8.5,28.48041,34.20079,21.732016
324,15.0,72.5,9.5,28.5313,34.36571,21.861746
325,15.0,72.5,10.5,28.56369,34.67669,22.09595
326,15.0,72.5,11.5,28.55549,35.0298,22.356297
327,15.0,72.5,12.5,28.5012,35.33391,22.576046
328,15.0,72.5,13.5,28.41161,35.5441,22.737371
329,15.0,72.5,14.5,28.339,35.67441,22.859352
330,15.0,73.5,5.5,28.32089,34.43581,21.911638
331,15.0,73.5,6.5,28.32239,34.180187,21.724112
332,15.0,73.5,7.5,28.35611,33.95919,21.562098
333,15.0,73.5,8.5,28.43489,33.83659,21.473396
334,15.0,73.5,9.5,28.54111,33.882812,21.509382
335,15.0,73.5,10.5,28.62089,34.14299,21.705135
336,15.0,73.5,11.5,28.64571,34.445,21.92862
337,15.0,73.5,12.5,28.61799,34.795288,22.141617
338,15.0,73.5,13.5,28.54359,35.060287,22.332394
339,15.0,73.5,14.5,28.5439,35.40201,22.560335
340,15.0,74.5,5.5,28.25201,34.447613,21.927002
341,15.0,74.5,6.5,28.2378,34.1212,21.69145
342,15.0,74.5,7.5,28.2789,33.79189,21.45001
343,15.0,74.5,8.5,28.39979,33.51099,21.237995
344,15.0,74.5,9.5,28.5915,33.36929,21.11757
345,15.0,74.5,10.5,28.718891,33.63479,21.322458
346,15.0,74.5,11.5,28.75219,33.80611,21.476852
347,15.0,74.5,12.5,28.79719,34.118412,21.665808
348,15.0,74.5,13.5,28.574991,34.43751,21.829668
349,15.0,74.5,14.5,,,
350,15.0,75.5,5.5,28.1707,34.46921,21.956104
351,15.0,75.5,6.5,28.1393,34.08601,21.684818
352,15.0,75.5,7.5,28.1754,33.6581,21.37631
353,15.0,75.5,8.5,28.33749,33.185112,21.014252
354,15.0,75.5,9.5,28.7246,32.58519,20.485151
355,15.0,75.5,10.5,28.9084,33.2831,21.022274
356,15.0,75.5,11.5,28.83911,33.033787,20.992592
357,15.0,75.5,12.5,,,
358,15.0,75.5,13.5,,,
359,15.0,75.5,14.5,,,
360,15.0,76.5,5.5,28.07279,34.4464,21.96563
361,15.0,76.5,6.5,28.004791,34.031887,21.68211
362,15.0,76.5,7.5,27.9819,33.564888,21.36562
363,15.0,76.5,8.5,28.075691,33.0196,20.989342
364,15.0,76.5,9.5,,,
365,15.0,76.5,10.5,,,
366,15.0,76.5,11.5,,,
367,15.0,76.5,12.5,,,
368,15.0,76.5,13.5,,,
369,15.0,76.5,14.5,,,
370,15.0,77.5,5.5,27.96901,34.35299,21.931028
371,15.0,77.5,6.5,27.84509,33.932987,21.654957
372,15.0,77.5,7.5,27.6956,33.502388,21.401625
373,15.0,77.5,8.5,,,
374,15.0,77.5,9.5,,,
375,15.0,77.5,10.5,,,
376,15.0,77.5,11.5,,,
377,15.0,77.5,12.5,,,
378,15.0,77.5,13.5,,,
379,15.0,77.5,14.5,,,
380,15.0,78.5,5.5,27.88459,34.19449,21.843159
381,15.0,78.5,6.5,27.730091,33.74731,21.553995
382,15.0,78.5,7.5,27.54549,33.36491,21.35512
383,15.0,78.5,8.5,,,
384,15.0,78.5,9.5,,,
385,15.0,78.5,10.5,,,
386,15.0,78.5,11.5,,,
387,15.0,78.5,12.5,,,
388,15.0,78.5,13.5,,,
389,15.0,78.5,14.5,,,
390,15.0,79.5,5.5,27.81011,34.00509,21.717133
391,15.0,79.5,6.5,27.650791,33.439888,21.326397
392,15.0,79.5,7.5,27.59211,33.27161,21.290869
393,15.0,79.5,8.5,27.72391,33.30909,21.333803
394,15.0,79.5,9.5,,,
395,15.0,79.5,10.5,,,
396,15.0,79.5,11.5,,,
397,15.0,79.5,12.5,,,
398,15.0,79.5,13.5,,,
399,15.0,79.5,14.5,,,
400,20.0,70.5,5.5,28.52981,34.88379,22.207197
401,20.0,70.5,6.5,28.58369,34.87921,22.192165
402,20.0,70.5,7.5,28.60399,34.95979,22.254368
403,20.0,70.5,8.5,28.592,35.13619,22.398235
404,20.0,70.5,9.5,28.550209,35.3965,22.611126
405,20.0,70.5,10.5,28.476591,35.69551,22.858475
406,20.0,70.5,11.5,28.366009,35.96521,23.091375
407,20.0,70.5,12.5,28.21831,36.143787,23.268812
408,20.0,70.5,13.5,28.042091,36.22311,23.38618
409,20.0,70.5,14.5,27.85441,36.23349,23.459667
410,20.0,71.5,5.5,28.45841,34.69589,22.096977
411,20.0,71.5,6.5,28.50929,34.62019,22.026112
412,20.0,71.5,7.5,28.5444,34.624,22.024464
413,20.0,71.5,8.5,28.56481,34.738888,22.115671
414,20.0,71.5,9.5,28.56871,34.97261,22.30283
415,20.0,71.5,10.5,28.54561,35.28689,22.554813
416,20.0,71.5,11.5,28.4839,35.60081,22.811413
417,20.0,71.5,12.5,28.38109,35.83211,23.015026
418,20.0,71.5,13.5,28.2474,35.952713,23.14753
419,20.0,71.5,14.5,28.10909,35.994213,23.224575
420,20.0,72.5,5.5,28.38429,34.54811,22.010143
421,20.0,72.5,6.5,28.4164,34.39061,21.88306
422,20.0,72.5,7.5,28.45681,34.29991,21.809954
423,20.0,72.5,8.5,28.5101,34.32291,21.828753
424,20.0,72.5,9.5,28.5653,34.49251,21.964188
425,20.0,72.5,10.5,28.59591,34.7887,22.200495
426,20.0,72.5,11.5,28.5826,35.11381,22.465242
427,20.0,72.5,12.5,28.524391,35.3884,22.694866
428,20.0,72.5,13.5,28.431309,35.57589,22.863157
429,20.0,72.5,14.5,28.355791,35.6938,22.968203
430,20.0,73.5,5.5,28.31341,34.479187,21.97184
431,20.0,73.5,6.5,28.322891,34.24041,21.791468
432,20.0,73.5,7.5,28.36609,34.04229,21.641157
433,20.0,73.5,8.5,28.45459,33.94149,21.565882
434,20.0,73.5,9.5,28.568491,33.9986,21.61324
435,20.0,73.5,10.5,28.65111,34.25139,21.819893
436,20.0,73.5,11.5,28.675909,34.53199,22.066006
437,20.0,73.5,12.5,28.66191,34.826687,22.319618
438,20.0,73.5,13.5,28.57621,35.09879,22.549816
439,20.0,73.5,14.5,28.5781,35.420788,22.762918
440,20.0,74.5,5.5,28.24221,34.47991,21.979637
441,20.0,74.5,6.5,28.23369,34.16441,21.750275
442,20.0,74.5,7.5,28.28201,33.85261,21.52083
443,20.0,74.5,8.5,28.41251,33.59151,21.323395
444,20.0,74.5,9.5,28.61611,33.465412,21.214613
445,20.0,74.5,10.5,28.750809,33.73089,21.431402
446,20.0,74.5,11.5,28.7838,33.88699,21.626722
447,20.0,74.5,12.5,28.85161,34.19051,21.910168
448,20.0,74.5,13.5,28.623709,34.48231,22.200401
449,20.0,74.5,14.5,,,
450,20.0,75.5,5.5,28.163391,34.494713,22.004318
451,20.0,75.5,6.5,28.137291,34.115387,21.737816
452,20.0,75.5,7.5,28.1788,33.69641,21.440628
453,20.0,75.5,8.5,28.34769,33.23819,21.094358
454,20.0,75.5,9.5,28.75391,32.6629,20.570738
455,20.0,75.5,10.5,28.95131,33.36829,21.093441
456,20.0,75.5,11.5,28.849909,33.097088,21.10166
457,20.0,75.5,12.5,,,
458,20.0,75.5,13.5,,,
459,20.0,75.5,14.5,,,
460,20.0,76.5,5.5,28.0743,34.47071,22.013615
461,20.0,76.5,6.5,28.01309,34.054188,21.733685
462,20.0,76.5,7.5,27.993109,33.58181,21.425865
463,20.0,76.5,8.5,28.07631,33.036587,21.076689
464,20.0,76.5,9.5,,,
465,20.0,76.5,10.5,,,
466,20.0,76.5,11.5,,,
467,20.0,76.5,12.5,,,
468,20.0,76.5,13.5,,,
469,20.0,76.5,14.5,,,
470,20.0,77.5,5.5,27.98511,34.38689,21.985107
471,20.0,77.5,6.5,27.872091,33.9624,21.710573
472,20.0,77.5,7.5,27.72299,33.51379,21.44423
473,20.0,77.5,8.5,,,
474,20.0,77.5,9.5,,,
475,20.0,77.5,10.5,,,
476,20.0,77.5,11.5,,,
477,20.0,77.5,12.5,,,
478,20.0,77.5,13.5,,,
479,20.0,77.5,14.5,,,
480,20.0,78.5,5.5,27.91631,34.25151,21.910913
481,20.0,78.5,6.5,27.77839,33.81999,21.634773
482,20.0,78.5,7.5,27.61161,33.43169,21.43786
483,20.0,78.5,8.5,,,
484,20.0,78.5,9.5,,,
485,20.0,78.5,10.5,,,
486,20.0,78.5,11.5,,,
487,20.0,78.5,12.5,,,
488,20.0,78.5,13.5,,,
489,20.0,78.5,14.5,,,
490,20.0,79.5,5.5,27.85501,34.08871,21.799091
491,20.0,79.5,6.5,27.71891,33.58189,21.44799
492,20.0,79.5,7.5,27.65379,33.41259,21.422106
493,20.0,79.5,8.5,27.7814,33.43291,21.463047
494,20.0,79.5,9.5,,,
495,20.0,79.5,10.5,,,
496,20.0,79.5,11.5,,,
497,20.0,79.5,12.5,,,
498,20.0,79.5,13.5,,,
499,20.0,79.5,14.5,,,
500,25.0,70.5,5.5,28.54671,35.003387,22.312992
